Algorithm;Input;Time
quicksort;o-99000;2.5227783846153846
quicksort;o-98000;2.4991186153846154
quicksort;o-97000;2.434038384615384
quicksort;o-96000;2.3582943076923075
quicksort;o-95000;2.274314307692308
quicksort;o-94000;2.2559301538461543
quicksort;o-93000;2.159711230769231
quicksort;o-92000;2.1586858461538463
quicksort;o-91000;2.0629468461538467
quicksort;o-90000;2.050210846153846
quicksort;o-9000;0.020565846153846157
quicksort;o-89000;1.9833474615384614
quicksort;o-88000;1.9621447692307692
quicksort;o-87000;1.9119845384615384
quicksort;o-86000;1.8799228461538464
quicksort;o-85000;1.8205839230769232
quicksort;o-84000;1.8052646923076923
quicksort;o-83000;1.7809102307692308
quicksort;o-82000;1.6945377692307693
quicksort;o-81000;1.6503586923076923
quicksort;o-80000;1.5714816153846152
quicksort;o-8000;0.016315846153846156
quicksort;o-79000;1.5463039230769233
quicksort;o-78000;1.5066326923076925
quicksort;o-77000;1.4658792307692308
quicksort;o-76000;1.439317153846154
quicksort;o-75000;1.417859846153846
quicksort;o-74000;1.3569935384615386
quicksort;o-73000;1.3153528461538462
quicksort;o-72000;1.2833307692307692
quicksort;o-71000;1.2557153076923078
quicksort;o-70000;1.2208951538461539
quicksort;o-7000;0.011826461538461537
quicksort;o-69000;1.182557153846154
quicksort;o-68000;1.1472322307692306
quicksort;o-67000;1.0905636923076925
quicksort;o-66000;1.0995266923076925
quicksort;o-65000;1.0454926923076924
quicksort;o-64000;1.0085470769230769
quicksort;o-63000;0.9803509230769231
quicksort;o-62000;0.9597842307692306
quicksort;o-61000;0.9258657692307692
quicksort;o-60000;0.8952399999999999
quicksort;o-6000;0.009365461538461541
quicksort;o-59000;0.8619533846153846
quicksort;o-58000;0.8465314615384616
quicksort;o-57000;0.801859923076923
quicksort;o-56000;0.7774791538461538
quicksort;o-55000;0.743546076923077
quicksort;o-54000;0.7287561538461538
quicksort;o-53000;0.690762076923077
quicksort;o-52000;0.6767615384615385
quicksort;o-51000;0.6372896923076923
quicksort;o-50000;0.6142831538461537
quicksort;o-5000;0.005881076923076923
quicksort;o-49000;0.5831046153846153
quicksort;o-48000;0.5743605384615383
quicksort;o-47000;0.5492436153846153
quicksort;o-46000;0.5161706153846153
quicksort;o-45000;0.5003812307692308
quicksort;o-44000;0.48579523076923076
quicksort;o-43000;0.45515446153846156
quicksort;o-42000;0.4377356153846153
quicksort;o-41000;0.4156876923076923
quicksort;o-40000;0.3976760769230769
quicksort;o-4000;0.003955692307692308
quicksort;o-39000;0.3755366923076923
quicksort;o-38000;0.3622853846153846
quicksort;o-37000;0.34418761538461534
quicksort;o-36000;0.32579392307692306
quicksort;o-35000;0.3099109230769231
quicksort;o-34000;0.28266353846153847
quicksort;o-33000;0.2737302307692308
quicksort;o-32000;0.2504546153846154
quicksort;o-31000;0.23749430769230767
quicksort;o-30000;0.22261392307692301
quicksort;o-3000;0.002246076923076923
quicksort;o-29000;0.20613176923076926
quicksort;o-28000;0.19845707692307693
quicksort;o-27000;0.17944746153846153
quicksort;o-26000;0.16802461538461538
quicksort;o-25000;0.1519495384615384
quicksort;o-24000;0.13973253846153846
quicksort;o-23000;0.12881461538461542
quicksort;o-22000;0.11791023076923077
quicksort;o-21000;0.10767369230769232
quicksort;o-200000;9.930159615384612
quicksort;o-20000;0.0956790769230769
quicksort;o-2000;0.001015769230769231
quicksort;o-199000;9.767819461538462
quicksort;o-198000;9.786610384615384
quicksort;o-197000;9.611113307692309
quicksort;o-196000;9.580246999999998
quicksort;o-195000;9.490766846153845
quicksort;o-194000;9.395926384615386
quicksort;o-193000;9.433200307692308
quicksort;o-192000;9.198033923076922
quicksort;o-191000;9.14440376923077
quicksort;o-190000;8.927585923076922
quicksort;o-19000;0.0951716923076923
quicksort;o-189000;9.018189153846153
quicksort;o-188000;8.738101307692306
quicksort;o-187000;8.815970153846154
quicksort;o-186000;8.58910976923077
quicksort;o-185000;8.608643153846153
quicksort;o-184000;8.498363307692308
quicksort;o-183000;8.409415153846153
quicksort;o-182000;8.209473076923077
quicksort;o-181000;8.077652769230768
quicksort;o-180000;8.054625076923076
quicksort;o-18000;0.08047723076923076
quicksort;o-179000;8.08131376923077
quicksort;o-178000;7.87371853846154
quicksort;o-177000;7.826485923076924
quicksort;o-176000;7.7196883846153845
quicksort;o-175000;7.594139384615384
quicksort;o-174000;7.533958153846153
quicksort;o-173000;7.376014307692307
quicksort;o-172000;7.290624923076924
quicksort;o-171000;7.287293846153846
quicksort;o-170000;7.129253461538462
quicksort;o-17000;0.06933446153846155
quicksort;o-169000;7.129980846153846
quicksort;o-168000;7.006821615384616
quicksort;o-167000;6.884828461538461
quicksort;o-166000;6.901351153846154
quicksort;o-165000;6.840291
quicksort;o-164000;6.714524000000001
quicksort;o-163000;6.620308076923076
quicksort;o-162000;6.4643310769230755
quicksort;o-161000;6.39740076923077
quicksort;o-160000;6.368288153846153
quicksort;o-16000;0.06181353846153845
quicksort;o-159000;6.224346923076923
quicksort;o-158000;6.193020538461538
quicksort;o-157000;5.914737538461538
quicksort;o-156000;5.976623846153847
quicksort;o-155000;6.276541307692308
quicksort;o-154000;6.011649153846154
quicksort;o-153000;5.948363153846154
quicksort;o-152000;5.621834923076923
quicksort;o-151000;5.710319615384615
quicksort;o-150000;5.532852076923078
quicksort;o-15000;0.05250176923076924
quicksort;o-149000;5.375447615384615
quicksort;o-148000;5.340164307692307
quicksort;o-147000;5.266960153846155
quicksort;o-146000;5.252842692307691
quicksort;o-145000;5.1244851538461536
